KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
43.000,2019,Gasolina,Iurreta,5,Sí,Manual ,Negro,Berlina,Nissan,Qashqai,Qashqai Acenta DIG-T 103 kW (140 CV),140 CV,Todoterreno,193 km/h,10.5 s,5.3 l/100km,121g CO2/km,4394 mm / 1806 mm / 1590 mm,C,21.990€
89.803,2020,Híbrido (Gasolina),Móstoles,5,Sí,Automático ,Negro,Todoterreno,False,False,False,150 CV,False,False,False,False,False,False,False,31.490€
70.110,2021,Gasolina,Iurreta,5,Sí,Manual ,Gris,Todoterreno,SEAT,Ateca,Ateca 1.0 TSI 81 KW (110 CV) Style,110 CV,Todoterreno,180 km/h,11.3 s,6 l/100km,g CO2/km,4381 mm / 1841 mm / 1615 mm,C,17.980€
28.000,2022,Híbrido (Gasolina),Murcia,5,Sí,Manual ,Beige,Familiar,False,False,False,125 CV,False,False,False,False,False,False,False,21.490€
93.625,2018,Híbrido (Gasolina),Talavera de la Reina,5,Sí,Automático ,Blanco,Berlina,Toyota,Auris,Auris 5p 1.8 Híbrido HSD Advance,136 CV,Turismo,180 km/h,11.4 s,4 l/100km,93g CO2/km,4245 mm / 1760 mm / 1510 mm,ECO,15.490€
43.080,2020,Gasolina,Talavera de la Reina,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,20.490€
89.495,2020,Gasolina,Madrid,5,Sí,Manual ,Gris,Berlina,Citroen,C3,C3 Aircross PureTech 110 S&S Rip Curl,110 CV,Todoterreno,188 km/h,10 s,4.7 l/100km,108g CO2/km,4154 mm / 1756 mm / 1597 mm,C,11.990€
58.194,2021,Híbrido (Gasolina),Talavera de la Reina,5,Sí,Manual ,Blanco,Berlina,False,False,False,125 CV,False,False,False,False,False,False,False,17.490€
106.604,2018,Diésel,Talavera de la Reina,5,Sí,Automático ,Gris,Todoterreno,Volvo,XC60,S40 R-Design D4 Aut.,190 CV,Turismo,215 km/h,8.8 s,5.6 l/100km,149g CO2/km,4476 mm / 1770 mm / 1454 mm,B,28.990€
35.235,2019,Gasolina,Alcorcón,5,Sí,Automático ,Otros,Todoterreno,Skoda,Karoq,Karoq Ambition 1.5 TSI 110 kW (150 CV) DSG ACT,150 CV,Todoterreno,203 km/h,8.6 s,5.5 l/100km,125g CO2/km,4382 mm / 1841 mm / 1603 mm,C,20.990€
67.167,2021,Híbrido (Gasolina),Talavera de la Reina,4,Sí,Automático ,Negro,Berlina,Toyota,COROLLA,Corolla Sedan 125H Business Plus,122 CV,Turismo,180 km/h,11 s,3.4 l/100km,77g CO2/km,4630 mm / 1780 mm / 1435 mm,ECO,21.490€
103.200,2018,Diésel,Iurreta,5,Sí,Manual ,Blanco,Todoterreno,KIA,Sportage,Sportage Emotion 2.0 CRDi 136 CV 4x4,136 CV,Todoterreno,181 km/h,11.3 s,6 l/100km,153g CO2/km,4440 mm / 1855 mm / 1645 mm,B,19.990€
79.999,2014,Diésel,Madrid,5,Sí,Automático ,Otros,Todoterreno,Mercedes-Benz,GLA,GLA 200 CDI 7G-DCT,136 CV,Todoterreno,205 km/h,9.9 s,4.4 l/100km,114g CO2/km,4417 mm / 1804 mm / 1494 mm,C,18.990€
58.154,2019,Gasolina,Talavera de la Reina,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,3008,3008 Crossway 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,18.490€
12.000,2023,Gas Licuado (GLP),Iurreta,5,Sí,Manual ,Otros,Berlina,Dacia,Sandero,Sandero Stepway Expression 74 kW (100 CV) ECO-G,101 CV,Turismo,177 km/h,11.9 s,4 l/100km,g CO2/km,4099 mm / 1848 mm / 1535 mm,ECO,16.390€
82.000,2015,Gasolina,Iurreta,3,Sí,Manual ,Blanco,Utilitario,Smart,Fortwo,fortwo 52 kW (71 CV),71 CV,Turismo,151 km/h,14.4 s,4.1 l/100km,93g CO2/km,2695 mm / 1663 mm / 1555 mm,C,7.880€
116.300,2019,Gasolina,Córdoba,5,Sí,Manual ,Blanco,Berlina,Peugeot,308,308 5p Active 1.2 PureTech 110 S&S,110 CV,Turismo,188 km/h,11.1 s,4.6 l/100km,105g CO2/km,4253 mm / 1804 mm / 1472 mm,C,10.490€
74.204,2021,Gasolina,Iurreta,5,Sí,Automático ,Gris,Berlina,SEAT,Ibiza,Ibiza 1.0 TSI 85 kW (115 CV) DSG-7 Start&Stop Xcellence,110 CV,Turismo,193 km/h,9.5 s,4.9 l/100km,112g CO2/km,4059 mm / 1780 mm / 1444 mm,C,15.980€
23.799,2019,Gasolina,Córdoba,5,Sí,Manual ,Blanco,Berlina,Peugeot,208,208 5p GT-Line 1.2 PureTech 110 S&S,100 CV,Turismo,188 km/h,9.6 s,4.6 l/100km,106g CO2/km,3973 mm / 1739 mm / 1460 mm,C,12.480€
84.179,2018,Gasolina,Sevilla,5,Sí,Automático ,Negro,Todoterreno,Opel,Mokka X,Mokka X Excellence 1.4 Turbo 112 kW (152 CV) 4x4 Start/Stop Aut.,140 CV,Todoterreno,193 km/h,9.7 s,6.5 l/100km,150g CO2/km,4275 mm / 1781 mm / 1658 mm,C,13.490€
102.000,2014,Gasolina,Collado Villalba,5,Sí,Manual ,Azul,Monovolumen,Peugeot,5008,5008 Allure 1.6 THP 155,156 CV,Monovolumen,195 km/h,9.6 s,7.3 l/100km,169g CO2/km,4529 mm / 1837 mm / 1639 mm,C,14.390€
101.744,2018,Gasolina,Sevilla,5,Sí,Manual ,Blanco,Berlina,Renault,Megane,Mégane Sport Tourer Life Energy TCe 74 kW (100 CV),100 CV,Turismo familiar,179 km/h,12.6 s,5.4 l/100km,120g CO2/km,4626 mm / 1814 mm / 1457 mm,C,11.480€
20.000,2021,Gasolina,Iurreta,5,Sí,Automático ,Azul,Berlina,BMW,1 Series,128ti,265 CV,Turismo,250 km/h,6.1 s,6.8 l/100km,g CO2/km,4319 mm / 1799 mm / 1434 mm,C,39.480€
114.500,2017,Diésel,León,3,Sí,Automático ,Blanco,Berlina,Mini,Hatchback,Cooper SD 3 puertas Aut.,170 CV,Turismo,225 km/h,7.2 s,4 l/100km,104g CO2/km,3850 mm / 1727 mm / 1414 mm,C,20.490€
104.450,2020,Diésel,El Zabal,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,3008,3008 Access 1.6 BlueHDi 120,130 CV,Monovolumen,183 km/h,12 s,4.1 l/100km,108g CO2/km,4365 mm / 1837 mm / 1639 mm,C,18.990€
89.000,2016,Diésel,Badajoz,5,Sí,Manual ,Negro,Todoterreno,False,False,False,136 CV,False,False,False,False,False,False,False,13.490€
58.465,2021,Gasolina,Iurreta,5,Sí,Manual ,Gris,Todoterreno,Opel,Grandland X,Grandland X Ultimate 1.2 Turbo Start&Stop 96 kW (130 CV),130 CV,Todoterreno,197 km/h,10.4 s,6.5 l/100km,g CO2/km,4477 mm / 1856 mm / 1609 mm,C,16.780€
28.988,2021,Híbrido (Gasolina),Iurreta,5,Sí,Automático ,Gris,Todoterreno,Renault,Arkana,Arkana Zen E-TECH Híbrido 105 kW (145 CV),140 CV,Todoterreno,172 km/h,10.8 s,4.8 l/100km,g CO2/km,4568 mm / 1821 mm / 1576 mm,ECO,23.680€
63.109,2019,Diésel,Murcia,5,Sí,Manual ,Blanco,Familiar,Opel,Insignia,Insignia Sports Tourer Selective 1.6 CDTi ecoTEC Start & Stop 81 kW (110 CV),110 CV,Turismo familiar,202 km/h,11.6 s,4.6 l/100km,121g CO2/km,4986 mm / 1863 mm / 1500 mm,C,14.890€
104.500,2019,Diésel,Finestrat,5,Sí,Automático ,Verde,Todoterreno,Peugeot,3008,3008 Allure 1.6 BlueHDi 120 EAT6,130 CV,Monovolumen,181 km/h,12.4 s,4.3 l/100km,112g CO2/km,4365 mm / 1837 mm / 1639 mm,C,19.990€
8.800,2023,Diésel,Alicante,5,Sí,Manual ,Otros,Monovolumen,Peugeot,Rifter,Rifter Allure Standard BlueHDi 100,100 CV,Vehículo comercial,175 km/h, s,4.3 l/100km,112g CO2/km,4403 mm / 1848 mm / 1796 mm,C,24.490€
25.900,2019,Gasolina,Madrid,5,Sí,Manual ,Azul,Berlina,Nissan,Micra,Micra 5p 1.6i (110 CV) Active Luxury,117 CV,Turismo,183 km/h,9.8 s,6.6 l/100km,158g CO2/km,3719 mm / 1660 mm / 1540 mm,C,14.800€
199.000,2014,Diésel,Madrid,3,Sí,Manual ,Gris,Berlina,Mini,Hatchback,Cooper SD,143 CV,Turismo,215 km/h,8.1 s,4.3 l/100km,114g CO2/km,3729 mm / 1683 mm / 1407 mm,B,10.800€
27.372,2021,Gasolina,Sabadell,5,Sí,Manual ,Blanco,Todoterreno,Cupra,Formentor,Formentor 1.5 TSI 110 kW (150 CV),150 CV,Todoterreno,204 km/h,8.9 s,6.4 l/100km,g CO2/km,4450 mm / 1839 mm / 1520 mm,C,23.990€
80.800,2017,Gasolina,Sabadell,5,Sí,Automático ,Azul,Familiar,SEAT,Leon,León CUPRA ST 2.0 TSI 290 CV DSG 6 vel.,300 CV,Turismo familiar,250 km/h,5.9 s,6.6 l/100km,154g CO2/km,4543 mm / 1816 mm / 1431 mm,C,24.490€
64.816,2020,Eléctrico,Mataró,5,Sí,Automático ,Gris,Berlina,Opel,Corsa,Corsa-e First Edition,136 CV,Turismo,150 km/h,8.1 s,17 l/100km,0g CO2/km,4060 mm / 1765 mm / 1435 mm,Cero,21.990€
42.858,2019,Gasolina,Marbella,5,Sí,Manual ,Blanco,Berlina,Skoda,Rapid,Spaceback 1.0 TSI 70 kW (95 CV) Active,95 CV,Turismo,184 km/h,11 s,4.5 l/100km,103g CO2/km,4304 mm / 1706 mm / 1459 mm,C,12.990€
57.472,2021,Híbrido (Gasolina),Marbella,5,Sí,Automático ,Azul,Todoterreno,BMW,X3,X3 xDrive30e,292 CV,Todoterreno,210 km/h,6.1 s,2.4 l/100km,49g CO2/km,4708 mm / 1891 mm / 1676 mm,Cero,38.990€
70.000,2020,Gasolina,Marbella,5,Sí,Manual ,Rojo,Todoterreno,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,18.490€
26.442,2019,Gasolina,Málaga,5,Sí,Manual ,Gris,Berlina,Peugeot,208,208 5p Tech Edition 1.2 PureTech 110 S&S,110 CV,Turismo,188 km/h,9.6 s,4.6 l/100km,106g CO2/km,3973 mm / 1739 mm / 1460 mm,C,13.480€
59.158,2020,Gasolina,Málaga,5,Sí,Manual ,Gris,Berlina,SEAT,Leon,León 5p 1.0 EcoTSI 85 kW (115 CV) Start&Stop Reference Edition,115 CV,Turismo,195 km/h,9.8 s,4.8 l/100km,109g CO2/km,4282 mm / 1816 mm / 1459 mm,C,15.780€
59.642,2022,Gasolina,Málaga,5,Sí,Manual ,Otros,Berlina,Renault,Clio,Clio Intens TCe 74 kW (100 CV),90 CV,Turismo,187 km/h,11.8 s,5.2 l/100km,99g CO2/km,4050 mm / 1798 mm / 1440 mm,C,12.890€
55.648,2021,Híbrido (Gasolina),Málaga,5,Sí,Automático ,Otros,Todoterreno,BMW,X3,X3 xDrive30e,292 CV,Todoterreno,210 km/h,6.1 s,2.4 l/100km,49g CO2/km,4708 mm / 1891 mm / 1676 mm,Cero,41.990€
33.498,2021,Diésel,Málaga,4,Sí,Automático ,Blanco,Berlina,Mercedes-Benz,Clase C,C 200 d Berlina,160 CV,Turismo,226 km/h,7.9 s,4.2 l/100km,112g CO2/km,4686 mm / 1810 mm / 1442 mm,C,38.990€
12.845,2023,Híbrido (Gasolina),Alcalá de Henares,5,Sí,Automático ,Blanco,Berlina,Toyota,Yaris,Yaris 5p 120H Style Plus,116 CV,Turismo,175 km/h,9.7 s,4.3 l/100km,g CO2/km,3940 mm / 1745 mm / 1500 mm,ECO,21.990€
45.953,2022,Gasolina,Alcalá de Henares,5,Sí,Manual ,Blanco,Berlina,SEAT,Ibiza,Ibiza SportCoupé Sport 1.6 16v 105 CV,110 CV,Turismo,189 km/h,10.4 s,6.3 l/100km,149g CO2/km,4034 mm / 1693 mm / 1428 mm,C,16.490€
179.000,2017,Eléctrico,Alfafar,5,Sí,Automático ,Blanco,Utilitario,BMW,i3,i3 94 Ah,169 CV,Monovolumen,150 km/h,7.3 s, l/100km,0g CO2/km,3999 mm / 1775 mm / 1578 mm,Cero,13.057€
124.417,2014,Diésel,Vitoria Gasteiz,5,Sí,Automático ,Azul,Todoterreno,False,False,False,200 CV,False,False,False,False,False,False,False,20.990€
93.386,2017,Diésel,Vilagarcía de Arousa,5,Sí,Manual ,Otros,Todoterreno,Volkswagen,Tiguan,Tiguan Advance 2.0 TDI 140 CV 2WD,150 CV,Todoterreno,190 km/h,10.2 s,5.9 l/100km,155g CO2/km,4427 mm / 1809 mm / 1683 mm,B,20.290€
91.555,2018,Diésel,Puerto de Sagunto,5,Sí,Manual ,Blanco,Todoterreno,Volkswagen,T-Roc,T-Roc Advance Style 1.6 TDI 85 kW (115 CV),115 CV,Todoterreno,187 km/h,10.9 s,4.4 l/100km,115g CO2/km,4234 mm / 1819 mm / 1573 mm,C,21.490€
45.419,2018,Gasolina,Sabadell,5,Sí,Automático ,Blanco,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.5 TSI EVO 110 kW (150 CV) DSG 7 vel.,150 CV,Todoterreno,205 km/h,8.4 s,5.4 l/100km,123g CO2/km,4234 mm / 1819 mm / 1573 mm,C,22.990€
36.944,2020,Gasolina,Vitoria Gasteiz,5,Sí,Manual ,Azul,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.0 TSI 85 kW (115 CV),110 CV,Todoterreno,187 km/h,10.1 s,5.1 l/100km,117g CO2/km,4234 mm / 1819 mm / 1573 mm,C,20.490€
133.000,2018,Gasolina,Fuenlabrada,5,Sí,Manual ,Blanco,Todoterreno,Volkswagen,T-Roc,T-Roc Advance 1.5 TSI EVO 110 kW (150 CV),150 CV,Todoterreno,205 km/h,8.4 s,5.3 l/100km,121g CO2/km,4234 mm / 1819 mm / 1573 mm,C,18.490€
30.000,2020,Gasolina,Pamplona,5,Sí,Manual ,Otros,Todoterreno,Volkswagen,T-Cross,T-Cross Advance 1.0 TSI 85 kW (115 CV),115 CV,Todoterreno,193 km/h,10.2 s,4.9 l/100km,112g CO2/km,4108 mm / 1782 mm / 1584 mm,C,20.290€
73.300,2021,Gasolina,Sant Boi de Llobregat,5,Sí,Automático ,Azul,Berlina,Volkswagen,Polo,Polo Advance 1.0 TSI 70 kW (95 CV) DSG 7 vel.,95 CV,Turismo,187 km/h,10.8 s,4.7 l/100km,106g CO2/km,4053 mm / 1751 mm / 1461 mm,C,16.990€
30.000,2019,Gasolina,Girona,5,Sí,Automático ,Gris,Berlina,Volkswagen,Golf,Golf Variant R 2.0 TSI 221 kW (300 CV) 4MOTION DSG 7 vel.,300 CV,Turismo familiar,250 km/h,4.8 s,8.6 l/100km,164g CO2/km,4586 mm / 1799 mm / 1515 mm,C,42.700€
30.810,2021,Diésel,Málaga,5,Sí,Manual ,Azul,Monovolumen,Volkswagen,Caddy,Caddy California 2.0 TDI 90 kW (122 CV),122 CV,Vehículo comercial,187 km/h,11.2 s,4.9 l/100km,g CO2/km,4500 mm / 1855 mm / 1832 mm,C,29.490€
34.513,2020,Gasolina,Gijón,3,Sí,Manual ,Blanco,Berlina,Toyota,Yaris,GR Yaris RZ,261 CV,Turismo,230 km/h,5.5 s,8.2 l/100km,170g CO2/km,3995 mm / 1805 mm / 1455 mm,C,39.490€
50.900,2021,Híbrido (Gasolina),Gavá,5,Sí,Automático ,Blanco,Familiar,Toyota,COROLLA,Corolla hybrid Touring Sports 180H Advance Luxury,180 CV,Turismo familiar,180 km/h,8.1 s,3.9 l/100km,89g CO2/km,4650 mm / 1790 mm / 1435 mm,ECO,25.790€
42.800,2021,Híbrido (Gasolina),Alicante,5,Sí,Automático ,Azul,Berlina,Toyota,COROLLA,Corolla 180H Advance,180 CV,Turismo,180 km/h,7.9 s,5.3 l/100km,89g CO2/km,4370 mm / 1790 mm / 1435 mm,ECO,26.990€
43.756,2016,Gasolina,Paterna,5,Sí,Manual ,Blanco,Utilitario,Toyota,Aygo,Aygo 5p 70 x-play,69 CV,Turismo,160 km/h,14.2 s,4.1 l/100km,95g CO2/km,3455 mm / 1615 mm / 1460 mm,C,10.990€
41.532,2020,Gasolina,Alicante,5,Sí,Manual ,Rojo,Todoterreno,Skoda,Kamiq,Kamiq 1.0 TSI 85 kW (115 CV) Active,110 CV,Todoterreno,194 km/h,9.9 s,5.8 l/100km,116g CO2/km,4241 mm / 1793 mm / 1531 mm,C,17.990€
70.000,2022,Diésel,Marbella,5,Sí,Manual ,Azul,Berlina,Skoda,Octavia,Octavia Combi Laurin & Klement 2.0 TDI CR 150 CV,150 CV,Turismo familiar,216 km/h,8.6 s,4.2 l/100km,110g CO2/km,4659 mm / 1814 mm / 1465 mm,B,21.490€
75.986,2020,Gasolina,Palma,5,Sí,Manual ,Otros,Todoterreno,Skoda,Kamiq,Kamiq 1.0 TSI 70 kW (95 CV) Active,95 CV,Todoterreno,181 km/h,11.1 s,5.5 l/100km,114g CO2/km,4241 mm / 1793 mm / 1531 mm,C,18.990€
33.352,2021,Gasolina,Alicante,5,Sí,Manual ,Azul,Berlina,Skoda,Fabia,Fabia Combi 1.0 TSI 70 kW (95 CV) Monte Carlo,95 CV,Turismo familiar,185 km/h,10.9 s,4.6 l/100km,105g CO2/km,4262 mm / 1732 mm / 1467 mm,C,14.980€
114.152,2016,Gasolina,Málaga,5,Sí,Manual ,Otros,Berlina,Skoda,Fabia,Fabia 1.0 MPI 55 kW (75 CV) Active,75 CV,Turismo,172 km/h,14.7 s,4.8 l/100km,108g CO2/km,3992 mm / 1732 mm / 1467 mm,C,7.790€
40.730,2021,Gasolina,Alicante,5,Sí,Manual ,Negro,Berlina,SEAT,Leon,León 2.0 FSI 150 CV Sport-up,150 CV,Turismo,210 km/h,8.8 s,8.2 l/100km,197g CO2/km,4315 mm / 1768 mm / 1458 mm,C,23.790€
94.321,2017,Gasolina,Madrid,5,Sí,Manual ,Negro,Berlina,SEAT,Leon,León ST 1.2 TSI 81 kW (110 CV) Start&Stop Style Plus,110 CV,Turismo familiar,194 km/h,10.1 s,4.9 l/100km,114g CO2/km,4549 mm / 1816 mm / 1454 mm,C,15.990€
59.586,2021,Gasolina,Cabrera de Mar,5,Sí,Manual ,Blanco,Berlina,SEAT,Leon,León 5p 1.0 EcoTSI 85 kW (115 CV) Start&Stop Reference Edition,110 CV,Turismo,195 km/h,9.8 s,4.8 l/100km,109g CO2/km,4282 mm / 1816 mm / 1459 mm,C,20.490€
61.707,2021,Gasolina,Vilagarcía de Arousa,5,Sí,Manual ,Otros,Berlina,SEAT,Ibiza,Ibiza ST 1.0 Eco TSI 110 CV Start&Stop Style,110 CV,Turismo familiar,197 km/h,9.6 s,4.3 l/100km,99g CO2/km,4236 mm / 1693 mm / 1445 mm,C,16.790€
65.500,2021,Gasolina,Pamplona,5,Sí,Automático ,Otros,Berlina,SEAT,Ibiza,Ibiza 1.0 TSI 85 kW (115 CV) DSG-7 Start&Stop Xcellence,110 CV,Turismo,193 km/h,9.5 s,4.9 l/100km,112g CO2/km,4059 mm / 1780 mm / 1444 mm,C,16.990€
60.000,2020,Gasolina,Alicante,5,Sí,Manual ,Blanco,Berlina,SEAT,Ibiza,Ibiza ST 1.0 Eco TSI 95 CV Start&Stop Style,95 CV,Turismo familiar,187 km/h,10.8 s,4.2 l/100km,97g CO2/km,4236 mm / 1693 mm / 1445 mm,C,13.290€
28.990,2017,Gasolina,Puebla de Sancho Pérez,5,Sí,Manual ,Gris,Berlina,SEAT,Ibiza,Ibiza 5p 1.0 55kW (75 CV) Reference Plus Limited,75 CV,Turismo,172 km/h,14.3 s,5.2 l/100km,118g CO2/km,4061 mm / 1693 mm / 1445 mm,C,10.990€
135.142,2018,Diésel,Oviedo,5,Sí,Manual ,Blanco,Todoterreno,SEAT,Ateca,Ateca 1.6 TDI 85 kW (115 CV) Start&Stop Style Plus Ecomotive,115 CV,Todoterreno,184 km/h,11.5 s,4.3 l/100km,113g CO2/km,4363 mm / 1841 mm / 1601 mm,C,15.990€
36.790,2020,Gasolina,Vitoria Gasteiz,5,Sí,Manual ,Blanco,Todoterreno,SEAT,Ateca,Ateca 1.0 TSI 85 kW (115 CV) Start&Stop Style Plus Ecomotive,115 CV,Todoterreno,183 km/h,11 s,5.2 l/100km,119g CO2/km,4363 mm / 1841 mm / 1601 mm,C,17.990€
38.200,2020,Gasolina,Badalona,5,Sí,Manual ,Gris,Todoterreno,SEAT,Arona,Arona 1.0 TSI 85 kW (115 CV) Start/Stop Xcellence GO,115 CV,Todoterreno,182 km/h,9.8 s,6 l/100km,g CO2/km,4138 mm / 1780 mm / 1552 mm,C,17.490€
103.242,2019,Diésel,Córdoba,5,Sí,Manual ,Beige,Familiar,Renault,Talisman,Talisman Sport Tourer Limited Blue dCi 110 kW (150 CV),150 CV,Turismo familiar,203 km/h,10.5 s,4.6 l/100km,129g CO2/km,4865 mm / 1868 mm / 1465 mm,C,16.990€
8.900,2023,Eléctrico,Alicante,5,Sí,Automático ,Blanco,Berlina,False,False,False,75 CV,False,False,False,False,False,False,False,27.990€
115.000,2021,Diésel,Xátiva,5,Sí,Manual ,Blanco,Berlina,Renault,Kadjar,Kadjar Zen Blue dCi 110 kW (150 CV) 4x2,150 CV,Todoterreno,198 km/h,10 s,5.3 l/100km,124g CO2/km,4489 mm / 1836 mm / 1607 mm,C,20.990€
10.681,2018,Gasolina,Paterna,5,Sí,Manual ,Beige,Berlina,Renault,Captur,Captur Intens Energy TCe 90 eco2,90 CV,Todoterreno,171 km/h,12.9 s,5.1 l/100km,114g CO2/km,4122 mm / 1778 mm / 1566 mm,C,16.990€
69.000,2019,Diésel,Galdakao,5,Sí,Automático ,Blanco,Monovolumen,Peugeot,Rifter,Rifter GT Line Standard BlueHDi 130 EAT8,130 CV,Vehículo comercial,184 km/h, s,4.3 l/100km,114g CO2/km,4403 mm / 1848 mm / 1796 mm,C,24.590€
78.000,2019,Diésel,Granollers,5,Sí,Manual ,Otros,Monovolumen,Peugeot,Rifter,Rifter Active Long BlueHDi 130,130 CV,Vehículo comercial,186 km/h, s,4.5 l/100km,118g CO2/km,4753 mm / 1848 mm / 1879 mm,C,20.890€
97.606,2019,Diésel,León,4,Sí,Manual ,Blanco,Vehículo,Peugeot,Expert,Expert Tepee Access HDi 100 Corto,95 CV,Vehículo comercial,155 km/h,19.7 s,6.5 l/100km,169g CO2/km,4805 mm / 1895 mm / 1942 mm,B,16.990€
24.451,2022,Diésel,Sant Just Desvern,3,Sí,Manual ,Blanco,Vehículo,Peugeot,Boxer,508 SW Allure 2.0 HDi 140,140 CV,Turismo familiar,210 km/h,10.1 s,4.8 l/100km,125g CO2/km,4813 mm / 1853 mm / 1476 mm,B,29.900€
99.000,2017,Gasolina,Vizcaya,5,Sí,Manual ,Otros,Todoterreno,Peugeot,5008,5008 Active 1.2 PureTech 130 S&S,130 CV,Todoterreno,188 km/h,10.8 s,5.1 l/100km,117g CO2/km,4641 mm / 1844 mm / 1651 mm,C,18.480€
52.000,2019,Gasolina,Tarragona,5,Sí,Manual ,Negro,Familiar,Peugeot,308,308 SW Style 1.2 PureTech 130 S&S,130 CV,Turismo familiar,205 km/h,10 s,4.6 l/100km,106g CO2/km,4585 mm / 1804 mm / 1471 mm,C,13.990€
29.230,2022,Gasolina,Olías del Rey,5,Sí,Automático ,Verde,Familiar,Peugeot,308,308 SW GT Line PureTech 130 S&S EAT8,130 CV,Turismo familiar,203 km/h,9.8 s,6.2 l/100km,109g CO2/km,4585 mm / 1804 mm / 1470 mm,C,22.490€
69.047,2018,Gasolina,Fuenlabrada,5,Sí,Manual ,Rojo,Berlina,Peugeot,308,308 SW Style 1.2 PureTech 130 S&S,130 CV,Turismo familiar,205 km/h,10 s,4.6 l/100km,106g CO2/km,4585 mm / 1804 mm / 1471 mm,C,14.490€
58.000,2022,Diésel,Galdakao,5,Sí,Manual ,Negro,Berlina,Peugeot,308,308 SW GT Line BlueHDi 130 S&S,130 CV,Turismo familiar,203 km/h,10 s,4.9 l/100km,94g CO2/km,4585 mm / 1804 mm / 1470 mm,C,21.490€
30.000,2019,Gasolina,Palma Islas Baleares,5,Sí,Manual ,Otros,Berlina,Peugeot,308,308 SW Style 1.2 PureTech 130 S&S,130 CV,Turismo familiar,205 km/h,10 s,4.6 l/100km,106g CO2/km,4585 mm / 1804 mm / 1471 mm,C,15.990€
7.676,2022,Gasolina,Ciudad Real,5,Sí,Automático ,Otros,Berlina,Peugeot,308,308 SW GT Line PureTech 130 S&S EAT8,130 CV,Turismo familiar,203 km/h,9.8 s,6.2 l/100km,109g CO2/km,4585 mm / 1804 mm / 1470 mm,C,23.490€
49.142,2018,Gasolina,Lleida,5,Sí,Manual ,Blanco,Berlina,Peugeot,308,308 SW Style 1.2 PureTech 130 S&S,131 CV,Turismo familiar,205 km/h,10 s,4.6 l/100km,106g CO2/km,4585 mm / 1804 mm / 1471 mm,C,15.990€
112.693,2015,Diésel,Vigo,5,Sí,Automático ,Otros,Berlina,Peugeot,3008,3008 Style 1.6 e-HDi 115 ETG6,120 CV,Monovolumen,183 km/h,12.6 s,4.2 l/100km,110g CO2/km,4365 mm / 1837 mm / 1639 mm,C,11.990€
137.001,2020,Diésel,Sevilla,5,Sí,Automático ,Gris,Todoterreno,Peugeot,3008,3008 Allure 1.6 BlueHDi 120 EAT6,130 CV,Monovolumen,181 km/h,12.4 s,4.3 l/100km,112g CO2/km,4365 mm / 1837 mm / 1639 mm,C,18.490€
47.588,2020,Gasolina,Albacete,5,Sí,Manual ,Amarillo,Berlina,Peugeot,208,208 5p Active 1.2 PureTech 82,75 CV,Turismo,175 km/h,12.2 s,4.5 l/100km,104g CO2/km,3973 mm / 1739 mm / 1460 mm,C,13.990€
73.644,2017,Gasolina,Sevilla,5,Sí,Manual ,Gris,Berlina,Peugeot,208,208 5p Style 1.2 PureTech 82,82 CV,Turismo,175 km/h,12.2 s,4.5 l/100km,104g CO2/km,3973 mm / 1739 mm / 1460 mm,C,9.480€
60.270,2020,Gasolina,Olías del Rey,5,Sí,Manual ,Otros,Todoterreno,Peugeot,2008,2008 GT Line 1.2 PureTech 130 S&S EAT6,130 CV,Todoterreno,203 km/h, s,5.2 l/100km,118g CO2/km,4159 mm / 1739 mm / 1570 mm,C,17.490€
100.000,2017,Diésel,Málaga,5,Sí,Manual ,Negro,Todoterreno,Peugeot,2008,2008 Crossway 1.6 BlueHDi 100,100 CV,Todoterreno,180 km/h,11.3 s,3.6 l/100km,95g CO2/km,4159 mm / 1739 mm / 1570 mm,C,11.990€
55.987,2019,Gasolina,València,5,Sí,Manual ,Negro,Utilitario,Peugeot,108,108 5p Collection VTi 72 S&S,72 CV,Turismo,160 km/h,13.8 s,3.7 l/100km,85g CO2/km,3475 mm / 1615 mm / 1460 mm,C,10.490€
